run,lr,batch,checkpoint,step,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak
lr6e-5_b32_mb8_ga4_e10,6e-5,32,checkpoint-28,28,0.45190684171393514,0.049283152369969815,0.040466963796206984,0.1696494405493527,0.0014264303851701861,0.7030939688426373,0.5612459781667027,48.21951594755363
lr6e-5_b32_mb8_ga4_e10,6e-5,32,checkpoint-35,35,0.44951246461831035,0.050357262412346795,0.03891620372733996,0.19155316377167053,0.0004306111484986726,0.7009053687494324,0.5583101254279855,48.65885616638524
lr6e-5_b32_mb8_ga4_e10,6e-5,32,checkpoint-42,42,0.4472927572391927,0.04913871445116417,0.038406955382997696,0.18096786983794844,0.0002829222008740643,0.6997721825948868,0.5597907832144944,48.91706489148803
lr6e-5_b32_mb8_ga4_e10,6e-5,32,checkpoint-49,49,0.44541709559969606,0.04862834324102892,0.03756576707683962,0.17689448638097602,0.0004306111484986726,0.6985800877270227,0.5649521561823043,49.17912747815951
lr6e-5_b32_mb8_ga4_e10,6e-5,32,checkpoint-56,56,0.4445932411495596,0.04943696470815004,0.036998145254046905,0.1798242272391477,0.00018395764501293307,0.6989688280546741,0.5690952270206568,49.186835201296915
lr6e-5_b32_mb8_ga4_e10,6e-5,32,checkpoint-60,60,0.4435454250872135,0.049240886276777494,0.0370103477552675,0.18416143694761022,0.0002829222008740643,0.6991232577896688,0.568787755744517,49.16756589345342
lr6e-5_b32_mb8_ga4_e10,6e-5,32,checkpoint-7,7,0.681904308795929,0.09321892795883467,0.20277041532099246,0.341105841470009,0.0020827633834865906,0.7095326390918916,0.4741651756496789,-45.44858947965951
lr7e-5_b16_mb8_ga2_e10,7e-5,16,checkpoint-104,104,0.48152523804455993,0.053155826454865024,0.031211459952763913,0.19690369491536452,0.016258459276759563,0.6215409094611434,0.5194593574833033,51.45675966526024
lr7e-5_b16_mb8_ga2_e10,7e-5,16,checkpoint-117,117,0.48130068492144346,0.05157265428284402,0.030973993032255332,0.1979360993652628,0.016258459276759563,0.6196404297973257,0.5219932426733392,51.54154461977159
lr7e-5_b16_mb8_ga2_e10,7e-5,16,checkpoint-120,120,0.4820250065997243,0.05350670364784747,0.03099162406251957,0.19982471849850922,0.016258459276759563,0.6204554347676766,0.521712223161368,51.5453984813403
lr7e-5_b16_mb8_ga2_e10,7e-5,16,checkpoint-13,13,0.6738193628191947,0.07903983271992225,0.18298402637708933,0.3488957294747438,0.004304993380033157,0.7008374816429608,0.4778480186698996,-52.45105594998443
lr7e-5_b16_mb8_ga2_e10,7e-5,16,checkpoint-26,26,0.4434468527697027,0.04872035621132096,0.026003153517718203,0.2002731569640028,0.0014264303851701861,0.6144006099680225,0.5081621273024916,51.765068590756115
lr7e-5_b16_mb8_ga2_e10,7e-5,16,checkpoint-39,39,0.4524278140813112,0.047079954606067405,0.02714250705818868,0.20099308455103795,0.006094418258803505,0.6096898759709171,0.4991708460688432,51.402805603298454
lr7e-5_b16_mb8_ga2_e10,7e-5,16,checkpoint-52,52,0.47318468175828454,0.04658208159711503,0.031671352814529256,0.2263029117445083,0.006094418258803505,0.6222716362649142,0.5129318214361491,51.45675966526024
lr7e-5_b16_mb8_ga2_e10,7e-5,16,checkpoint-65,65,0.47358585592359304,0.04994418700878514,0.03256009272236242,0.18207953549056888,0.008539483949831865,0.6261826935471996,0.5108736427749054,52.046400485271086
lr7e-5_b16_mb8_ga2_e10,7e-5,16,checkpoint-78,78,0.4721766651980579,0.050170759244562324,0.03245390734543497,0.18260664294638712,0.0297148244707607,0.6252871775747711,0.5114809791125228,51.5453984813403
lr7e-5_b16_mb8_ga2_e10,7e-5,16,checkpoint-91,91,0.4759284808114171,0.05007249686298364,0.031801178722195796,0.18778390632895758,0.0220923622208589,0.6250938315292622,0.5170634410161181,51.61476798957687
lr7e-5_b32_mb8_ga4_e10,7e-5,32,checkpoint-14,14,0.466433841008693,0.03703633666157764,0.037481182676663914,0.1943746962177444,0.011843449760085422,0.6833527208591846,0.5296891458126219,50.585786950734416
lr7e-5_b32_mb8_ga4_e10,7e-5,32,checkpoint-21,21,0.47227678626775743,0.048813107432297095,0.03252174737344722,0.1826123849718878,0.0297148244707607,0.6625827664372985,0.5427087078797784,50.05395405425405
lr7e-5_b32_mb8_ga4_e10,7e-5,32,checkpoint-28,28,0.4635485992208123,0.04905305298584665,0.03406916573029044,0.15946072536126346,0.016258459276759563,0.6680928902628063,0.5441317911804988,50.400801595436896
lr7e-5_b32_mb8_ga4_e10,7e-5,32,checkpoint-35,35,0.473227985650301,0.049528727873508455,0.03456887512356307,0.16217392679706444,0.0297148244707607,0.6715822616150607,0.5510129207888866,50.373824564456
lr7e-5_b32_mb8_ga4_e10,7e-5,32,checkpoint-42,42,0.47392142470926046,0.049303086562836815,0.03483763073466349,0.1648778829131365,0.03956202584899502,0.6729468807061587,0.5581793798443832,50.30445505621943
lr7e-5_b32_mb8_ga4_e10,7e-5,32,checkpoint-49,49,0.46789082407951355,0.04801574860270473,0.033899303314494915,0.16036538444438858,0.03956202584899502,0.6722641012138562,0.5636166843923772,50.53183288877264
lr7e-5_b32_mb8_ga4_e10,7e-5,32,checkpoint-56,56,0.46681358784437177,0.048018376415405885,0.033366518009646476,0.1580487201415159,0.03956202584899502,0.6723866581275844,0.5638884006774038,50.566517642890915
lr7e-5_b32_mb8_ga4_e10,7e-5,32,checkpoint-60,60,0.46656169489026067,0.047677782699477644,0.033275191932839815,0.1579495192440159,0.0297148244707607,0.6727797487808636,0.5638446164965404,50.574225366028315
lr7e-5_b32_mb8_ga4_e10,7e-5,32,checkpoint-7,7,0.6284887917339802,0.07136551969733494,0.1456228660279885,0.2944193398237462,0.03956202584899502,0.7283349846551126,0.4412875431385367,-26.125327574206057
